Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Registration form for the stranded people in Zhemgang,Aug 14th 2020,Retrieval(Stranded),https://docs.google.com/forms/d/e/1FAIpQLSchEl631eIXSsFTaiou9KRfWLvWckDRtIhOPfYX6xlFiP_sIw/viewform,Zhemgang Dzo FB,Other(mention in Notes),Google Form: included in text post below,,,
Registration for the stranded people in Zhemgang Info,Aug 14th 2020,Retrieval(Stranded),https://www.facebook.com/163922087751386/photos/a.240508510092743/780892802720975/?type=3&theater,Zhemgang Dzo FB,Image,Image of same form as above can be filled in and sent via social media,,,
Focals for Essential services (Southern Region),14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966041464988/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,
Focals for Essential services (Southern Region) - DZO,14-Aug,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382906525104273/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,
Contact details of Dzongdags,11-Aug,Local Leaders,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,11-Aug,Local Leaders,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Dzongkhag Website,,Dzongkhag Webpage,http://www.zhemgang.gov.bt/node/1,,,,,,
Zhemgang Toll Free Numbers,Aug 18th 2020,Toll-Free Numbers,https://www.facebook.com/DzongkhagAdministrationBumthang/photos/pcb.1751296121687249/1751295485020646/?type=3&theater,Zhemgang Dzo FB,Image,Might have already been added by Phuntsho,,,
Dasho Dzongda's Address on COVID-19 in Kheng - Kha,Aug 14th 2020,Others(See notes),https://www.facebook.com/163922087751386/videos/933973817129570/,Zhemgang Dzo FB,Other(mention in Notes),"Video - please check if the link is working, it works for me but video links don't seem to open for other people",,,
