Service Title,Date of Upload,Service Category,Link,Format,Dzongkhag,Notes,Verified,,
Focals for Essential services (Central Region),August 14,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382997755095150/3385966034798322/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,,Phuntsho
Focals for Essential services (Central Region) - DZO,August 14,General Health Services,https://www.facebook.com/MoHBhutan/photos/pcb.3382911001770492/3382905825104343/?type=3&theater,Image,Posted 14th Aug 2020,Regional,✓ ,Also include in Category: Dzongkha,Phuntsho
Specific purpose for toll-free health services,August 18,General Health Services,http://www.wangduephodrang.gov.bt/announcements/hot-lines-and-contact-purposes,Other(mention in Notes),Wangdue Phodrang,,✓,,
Toll free numbers for health services,,General Health Services,http://www.wangduephodrang.gov.bt/announcements/hot-lines-and-contact-purposes,Other(mention in Notes),Wangdue Phodrang,website,✓,,
Contact details of Dzongdags,August 11,Local Leader,https://www.facebook.com/PMOBhutan/photos/pcb.3146796082099740/3146794685433213/?type=3&theater,Image,11th Aug 2020,National,✓ ,,
Details of Focal Officers in Dzongkhags,August 11,Local Leader,https://www.facebook.com/BHUTANMOEA/photos/a.626003584132913/3230046650395247/?type=3&theater,Image,11th Aug 2020,National,✓ ,Source: Ministry of Economic Affairs,Phuntsho 
Dzongkhag Website,,Dzongkhag Webpage,http://www.wangduephodrang.gov.bt/index.php/,,,,,,
